Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9,Obj10
0.44957,0.43502,0.44974,0.42257,0.41417,0.46555,0.49023,0.47079,0.47157,0.47783
0.41882,0.40486,0.42112,0.39386,0.38576,0.49098,0.52007,0.49752,0.50564,0.51397
0.391,0.37218,0.39674,0.36845,0.35481,0.51297,0.54835,0.52086,0.54648,0.54542
0.41236,0.40684,0.41055,0.38965,0.38025,0.49341,0.52665,0.50917,0.52928,0.50398
0.45103,0.45055,0.44896,0.42865,0.41866,0.45811,0.48939,0.46545,0.48071,0.46078
0.43317,0.41618,0.43215,0.40749,0.39118,0.47747,0.50861,0.4954,0.48832,0.49848
0.35867,0.32521,0.35214,0.32647,0.3307,0.54841,0.58396,0.58202,0.58555,0.59685
0.34791,0.32906,0.34657,0.3327,0.30901,0.55308,0.59198,0.60156,0.60559,0.57362
0.42878,0.42537,0.42343,0.40685,0.39791,0.47912,0.51444,0.49595,0.50431,0.48019
0.40891,0.39561,0.40974,0.38902,0.36505,0.49093,0.53657,0.52678,0.51218,0.51399
0.36952,0.35685,0.36654,0.35002,0.33604,0.53107,0.57387,0.58451,0.56194,0.54691
0.41402,0.40133,0.41203,0.3952,0.37464,0.48799,0.52992,0.5326,0.51731,0.49381
0.43804,0.42785,0.43715,0.41676,0.39408,0.46706,0.50866,0.50242,0.48326,0.46915
0.43804,0.42785,0.43715,0.41676,0.39408,0.46706,0.50866,0.50242,0.48326,0.46915
0.46313,0.4555,0.46123,0.44457,0.41705,0.44562,0.48166,0.4738,0.45631,0.44623
0.39472,0.37653,0.39909,0.36982,0.35707,0.51292,0.54918,0.52173,0.52505,0.54664
0.27355,0.26409,0.28335,0.25522,0.24832,0.61619,0.68012,0.63908,0.67172,0.68103
0.265,0.26974,0.26494,0.2555,0.2455,0.63237,0.69004,0.64338,0.70276,0.66333
0.38942,0.39291,0.39156,0.37554,0.3612,0.51093,0.55364,0.53171,0.54724,0.51074
0.2893,0.27047,0.29989,0.27772,0.25005,0.60434,0.67206,0.65716,0.61308,0.64232
0.033242,0.025259,0.053774,0.053656,0,0.82194,0.97252,1,0.97118,0.91715
0.28951,0.28969,0.28901,0.28791,0.26588,0.60072,0.66556,0.66526,0.66767,0.60066
0.3084,0.29254,0.31533,0.29623,0.26512,0.57533,0.65055,0.66203,0.60968,0.60512
0.29637,0.2981,0.29872,0.29689,0.24864,0.58846,0.67679,0.69635,0.6394,0.57534
0.40693,0.39931,0.40722,0.39574,0.3575,0.49492,0.54326,0.54301,0.50961,0.49305
0.30912,0.29831,0.31996,0.28925,0.28471,0.5897,0.6524,0.60158,0.59802,0.62948
0.1997,0.21531,0.21737,0.20034,0.17118,0.67339,0.78307,0.71971,0.72577,0.70841
0.30291,0.31753,0.29623,0.29958,0.2641,0.59157,0.66734,0.62661,0.64477,0.5833
0.20158,0.22311,0.24117,0.22368,0.1579,0.66504,0.79115,0.75092,0.67703,0.68215
0.18649,0.22707,0.19907,0.20504,0.15172,0.68151,0.81942,0.80048,0.73636,0.66588
0.31175,0.32662,0.32575,0.32601,0.26966,0.57253,0.6621,0.65289,0.58284,0.55433
0.30249,0.32739,0.32701,0.31029,0.26331,0.57909,0.66762,0.60629,0.59258,0.58087
0.31087,0.32958,0.32367,0.31249,0.26653,0.57969,0.66477,0.60775,0.59474,0.56677
0.31982,0.3404,0.334,0.32848,0.27903,0.56568,0.65746,0.61835,0.57069,0.5534
0.36322,0.39137,0.37841,0.3637,0.32453,0.5242,0.60466,0.55985,0.53039,0.51335
0.42402,0.41018,0.42513,0.40072,0.38724,0.48832,0.51537,0.49308,0.49909,0.50702
0.34252,0.31976,0.34663,0.32352,0.31276,0.58572,0.59226,0.56838,0.59663,0.60011
0.33191,0.32186,0.32959,0.31073,0.31962,0.59484,0.60218,0.57828,0.62183,0.60072
0.42124,0.42032,0.41593,0.40344,0.39007,0.4894,0.52093,0.49886,0.51215,0.48646
